Coding,Value,Meaning
240,G769,G76.9 Unspecified intra-abdominal manipulation of ileum
240,G78,G78 Other open operations on ileum
240,G781,G78.1 Open biopsy of lesion of ileum
240,G782,G78.2 Strictureplasty of ileum
240,G783,G78.3 Removal of foreign body from ileum
240,G784,G78.4 Closure of perforation of ileum
240,G785,G78.5 Exclusion of segment of ileum
240,G786,G78.6 Open intubation of ileum
240,G788,G78.8 Other specified other open operations on ileum
240,G789,G78.9 Unspecified other open operations on ileum
240,G79,G79 Therapeutic endoscopic operations on ileum
240,G791,G79.1 Endoscopic extirpation of lesion of ileum
240,G792,G79.2 Endoscopic dilation of ileum
240,G793,G79.3 Endoscopic insertion of tubal prosthesis into ileum
240,G798,G79.8 Other specified therapeutic endoscopic operations on ileum
240,G799,G79.9 Unspecified therapeutic endoscopic operations on ileum
240,G80,G80 Diagnostic endoscopic examination of ileum
240,G801,G80.1 Diagnostic endoscopic examination of ileum and biopsy of lesion of ileum
240,G802,G80.2 Wireless capsule endoscopy
240,G803,G80.3 Diagnostic endoscopic balloon examination of ileum
240,G808,G80.8 Other specified diagnostic endoscopic examination of ileum
240,G809,G80.9 Unspecified diagnostic endoscopic examination of ileum
240,G82,G82 Other operations on ileum
240,G821,G82.1 Radiological reduction of intussusception of ileum using barium enema
240,G822,G82.2 Intubation of ileum for decompression of intestine
240,G823,G82.3 Intubation of ileum for studies on function HFQ
240,G824,G82.4 Intubation of ileum NEC
240,G828,G82.8 Other specified other operations on ileum
240,G829,G82.9 Unspecified other operations on ileum
240,H01,H01 Emergency excision of appendix
240,H011,H01.1 Emergency excision of abnormal appendix and drainage HFQ
240,H012,H01.2 Emergency excision of abnormal appendix NEC
240,H013,H01.3 Emergency excision of normal appendix
240,H018,H01.8 Other specified emergency excision of appendix
240,H019,H01.9 Unspecified emergency excision of appendix
240,H02,H02 Other excision of appendix
240,H021,H02.1 Interval appendicectomy
240,H022,H02.2 Planned delayed appendicectomy NEC
240,H023,H02.3 Prophylactic appendicectomy NEC
240,H024,H02.4 Incidental appendicectomy
240,H028,H02.8 Other specified other excision of appendix
240,H029,H02.9 Unspecified other excision of appendix
240,H03,H03 Other operations on appendix
240,H031,H03.1 Drainage of abscess of appendix
240,H032,H03.2 Drainage of appendix NEC
240,H033,H03.3 Exteriorisation of appendix
240,H038,H03.8 Other specified other operations on appendix
240,H039,H03.9 Unspecified other operations on appendix
240,H04,H04 Total excision of colon and rectum
240,H041,H04.1 Panproctocolectomy and ileostomy
240,H042,H04.2 Panproctocolectomy and anastomosis of ileum to anus and creation of pouch HFQ
240,H043,H04.3 Panproctocolectomy and anastomosis of ileum to anus NEC
240,H048,H04.8 Other specified total excision of colon and rectum
240,H049,H04.9 Unspecified total excision of colon and rectum
240,H05,H05 Total excision of colon
240,H051,H05.1 Total colectomy and anastomosis of ileum to rectum
240,H052,H05.2 Total colectomy and ileostomy and creation of rectal fistula HFQ
240,H053,H05.3 Total colectomy and ileostomy NEC
240,H058,H05.8 Other specified total excision of colon
240,H059,H05.9 Unspecified total excision of colon
240,H06,H06 Extended excision of right hemicolon
240,H061,H06.1 Extended right hemicolectomy and end to end anastomosis
240,H062,H06.2 Extended right hemicolectomy and anastomosis of ileum to colon
240,H063,H06.3 Extended right hemicolectomy and anastomosis NEC
240,H064,H06.4 Extended right hemicolectomy and ileostomy HFQ
240,H065,H06.5 Extended right hemicolectomy and end to side anastomosis
240,H068,H06.8 Other specified extended excision of right hemicolon
240,H069,H06.9 Unspecified extended excision of right hemicolon
240,H07,H07 Other excision of right hemicolon
240,H071,H07.1 Right hemicolectomy and end to end anastomosis of ileum to colon
240,H072,H07.2 Right hemicolectomy and side to side anastomosis of ileum to transverse colon
240,H073,H07.3 Right hemicolectomy and anastomosis NEC
240,H074,H07.4 Right hemicolectomy and ileostomy HFQ
240,H075,H07.5 Right hemicolectomy and end to side anastomosis
240,H078,H07.8 Other specified other excision of right hemicolon
240,H079,H07.9 Unspecified other excision of right hemicolon
240,H08,H08 Excision of transverse colon
240,H081,H08.1 Transverse colectomy and end to end anastomosis
240,H082,H08.2 Transverse colectomy and anastomosis of ileum to colon
240,H083,H08.3 Transverse colectomy and anastomosis NEC
240,H084,H08.4 Transverse colectomy and ileostomy HFQ
240,H085,H08.5 Transverse colectomy and exteriorisation of bowel NEC
240,H086,H08.6 Transverse colectomy and end to side anastomosis
240,H088,H08.8 Other specified excision of transverse colon
240,H089,H08.9 Unspecified excision of transverse colon
240,H09,H09 Excision of left hemicolon
240,H091,H09.1 Left hemicolectomy and end to end anastomosis of colon to rectum
240,H092,H09.2 Left hemicolectomy and end to end anastomosis of colon to colon
240,H093,H09.3 Left hemicolectomy and anastomosis NEC
240,H094,H09.4 Left hemicolectomy and ileostomy HFQ
240,H095,H09.5 Left hemicolectomy and exteriorisation of bowel NEC
240,H096,H09.6 Left hemicolectomy and end to side anastomosis
240,H098,H09.8 Other specified excision of left hemicolon
240,H099,H09.9 Unspecified excision of left hemicolon
240,H10,H10 Excision of sigmoid colon
240,H101,H10.1 Sigmoid colectomy and end to end anastomosis of ileum to rectum
240,H102,H10.2 Sigmoid colectomy and anastomosis of colon to rectum
240,H103,H10.3 Sigmoid colectomy and anastomosis NEC
240,H104,H10.4 Sigmoid colectomy and ileostomy HFQ
240,H105,H10.5 Sigmoid colectomy and exteriorisation of bowel NEC
240,H106,H10.6 Sigmoid colectomy and end to side anastomosis
240,H108,H10.8 Other specified excision of sigmoid colon
240,H109,H10.9 Unspecified excision of sigmoid colon
240,H11,H11 Other excision of colon
240,H111,H11.1 Colectomy and end to end anastomosis of colon to colon NEC
240,H112,H11.2 Colectomy and side to side anastomosis of ileum to colon NEC
240,H113,H11.3 Colectomy and anastomosis NEC
240,H114,H11.4 Colectomy and ileostomy NEC
240,H115,H11.5 Colectomy and exteriorisation of bowel NEC
240,H116,H11.6 Colectomy and end to side anastomosis NEC
240,H118,H11.8 Other specified other excision of colon
240,H119,H11.9 Unspecified other excision of colon
240,H12,H12 Extirpation of lesion of colon
240,H121,H12.1 Excision of diverticulum of colon
240,H122,H12.2 Excision of lesion of colon NEC
240,H123,H12.3 Destruction of lesion of colon NEC
240,H128,H12.8 Other specified extirpation of lesion of colon
240,H129,H12.9 Unspecified extirpation of lesion of colon
240,H13,H13 Bypass of colon
240,H131,H13.1 Bypass of colon by anastomosis of ileum to colon
240,H132,H13.2 Bypass of colon by anastomosis of caecum to sigmoid colon
240,H133,H13.3 Bypass of colon by anastomosis of transverse colon to sigmoid colon
240,H134,H13.4 Bypass of colon by anastomosis of transverse colon to rectum
240,H135,H13.5 Bypass of colon by anastomosis of colon to rectum NEC
240,H138,H13.8 Other specified bypass of colon
240,H139,H13.9 Unspecified bypass of colon
240,H14,H14 Exteriorisation of caecum
240,H141,H14.1 Tube caecostomy
240,H142,H14.2 Refashioning of caecostomy
240,H143,H14.3 Closure of caecostomy
240,H144,H14.4 Appendicocaecostomy
240,H148,H14.8 Other specified exteriorisation of caecum
240,H149,H14.9 Unspecified exteriorisation of caecum
240,H15,H15 Other exteriorisation of colon
240,H151,H15.1 Loop colostomy
240,H152,H15.2 End colostomy
240,H153,H15.3 Refashioning of colostomy
240,H154,H15.4 Closure of colostomy
240,H155,H15.5 Dilation of colostomy
240,H156,H15.6 Reduction of prolapse of colostomy
240,H157,H15.7 Percutaneous endoscopic sigmoid colostomy
240,H158,H15.8 Other specified other exteriorisation of colon
240,H159,H15.9 Unspecified other exteriorisation of colon
240,H16,H16 Incision of colon
240,H161,H16.1 Drainage of colon
240,H162,H16.2 Caecotomy
240,H163,H16.3 Colotomy
240,H168,H16.8 Other specified incision of colon
240,H169,H16.9 Unspecified incision of colon
240,H17,H17 Intra-abdominal manipulation of colon
240,H171,H17.1 Open reduction of intussusception of colon
240,H172,H17.2 Open reduction of volvulus of caecum
240,H173,H17.3 Open reduction of volvulus of sigmoid colon
240,H174,H17.4 Open reduction of volvulus of colon NEC
240,H175,H17.5 Open relief of strangulation of colon
240,H176,H17.6 Open relief of obstruction of colon NEC
240,H178,H17.8 Other specified intra-abdominal manipulation of colon
240,H179,H17.9 Unspecified intra-abdominal manipulation of colon
240,H18,H18 Open endoscopic operations on colon
240,H181,H18.1 Open colonoscopy
240,H188,H18.8 Other specified open endoscopic operations on colon
240,H189,H18.9 Unspecified open endoscopic operations on colon
240,H19,H19 Other open operations on colon
240,H191,H19.1 Open biopsy of lesion of colon
240,H192,H19.2 Fixation of colon
240,H193,H19.3 Enterorrhaphy of colon
240,H194,H19.4 Open removal of foreign body from colon
240,H198,H19.8 Other specified other open operations on colon
240,H199,H19.9 Unspecified other open operations on colon
240,H20,H20 Endoscopic extirpation of lesion of colon
240,H201,H20.1 Fibreoptic endoscopic snare resection of lesion of colon
240,H202,H20.2 Fibreoptic endoscopic cauterisation of lesion of colon
240,H203,H20.3 Fibreoptic endoscopic laser destruction of lesion of colon
240,H204,H20.4 Fibreoptic endoscopic destruction of lesion of colon NEC
240,H205,H20.5 Fibreoptic endoscopic submucosal resection of lesion of colon
240,H206,H20.6 Fibreoptic endoscopic resection of lesion of colon NEC
240,H208,H20.8 Other specified endoscopic extirpation of lesion of colon
240,H209,H20.9 Unspecified endoscopic extirpation of lesion of colon
240,H21,H21 Other therapeutic endoscopic operations on colon
240,H211,H21.1 Fibreoptic endoscopic dilation of colon
240,H212,H21.2 Fibreoptic endoscopic coagulation of blood vessel of colon
240,H213,H21.3 Fibreoptic endoscopic removal of foreign body from colon
240,H214,H21.4 Fibreoptic endoscopic insertion of expanding metal stent into colon
240,H218,H21.8 Other specified other therapeutic endoscopic operations on colon
240,H219,H21.9 Unspecified other therapeutic endoscopic operations on colon
240,H22,H22 Diagnostic endoscopic examination of colon
240,H221,H22.1 Diagnostic fibreoptic endoscopic examination of colon and biopsy of lesion of colon
240,H228,H22.8 Other specified diagnostic endoscopic examination of colon
240,H229,H22.9 Unspecified diagnostic endoscopic examination of colon
240,H23,H23 Endoscopic extirpation of lesion of lower bowel using fibreoptic sigmoidoscope
240,H231,H23.1 Endoscopic snare resection of lesion of lower bowel using fibreoptic sigmoidoscope
240,H232,H23.2 Endoscopic cauterisation of lesion of lower bowel using fibreoptic sigmoidoscope
240,H233,H23.3 Endoscopic laser destruction of lesion of lower bowel using fibreoptic sigmoidoscope
240,H234,H23.4 Endoscopic destruction of lesion of lower bowel using fibreoptic sigmoidoscope NEC
240,H235,H23.5 Endoscopic submucosal resection of lesion of lower bowel using fibreoptic sigmoidoscope
240,H236,H23.6 Endoscopic resection of lesion of lower bowel using fibreoptic sigmoidoscope NEC
240,H238,H23.8 Other specified endoscopic extirpation of lesion of lower bowel using fibreoptic sigmoidoscope
240,H239,H23.9 Unspecified endoscopic extirpation of lesion of lower bowel using fibreoptic sigmoidoscope
240,H24,H24 Other therapeutic endoscopic operations on lower bowel using fibreoptic sigmoidoscope
240,H241,H24.1 Endoscopic dilation of lower bowel using fibreoptic sigmoidoscope
240,H242,H24.2 Endoscopic coagulation of blood vessel of lower bowel using fibreoptic sigmoidoscope
240,H243,H24.3 Endoscopic insertion of tubal prosthesis into lower bowel using fibreoptic sigmoidoscope
240,H244,H24.4 Endoscopic insertion of expanding metal stent into lower bowel using fibreoptic sigmoidoscope
240,H248,H24.8 Other specified other therapeutic endoscopic operations on lower bowel using fibreoptic sigmoidoscope
240,H249,H24.9 Unspecified other therapeutic endoscopic operations on lower bowel using fibreoptic sigmoidoscope
240,H25,H25 Diagnostic endoscopic examination of lower bowel using fibreoptic sigmoidoscope
240,H251,H25.1 Diagnostic endoscopic examination of lower bowel and biopsy of lesion of lower bowel using fibreoptic sigmoidoscope
240,H252,H25.2 Diagnostic endoscopic examination of lower bowel and sampling for bacterial overgrowth using fibreoptic sigmoidoscope
240,H258,H25.8 Other specified diagnostic endoscopic examination of lower bowel using fibreoptic sigmoidoscope
240,H259,H25.9 Unspecified diagnostic endoscopic examination of lower bowel using fibreoptic sigmoidoscope
240,H26,H26 Endoscopic extirpation of lesion of sigmoid colon using rigid sigmoidoscope
240,H261,H26.1 Endoscopic snare resection of lesion of sigmoid colon using rigid sigmoidoscope
240,H262,H26.2 Endoscopic cauterisation of lesion of sigmoid colon using rigid sigmoidoscope
240,H263,H26.3 Endoscopic laser destruction of lesion of sigmoid colon using rigid sigmoidoscope
240,H264,H26.4 Endoscopic cryotherapy to lesion of sigmoid colon using rigid sigmoidoscope
240,H265,H26.5 Endoscopic destruction of lesion of sigmoid colon using rigid sigmoidoscope NEC
240,H266,H26.6 Endoscopic submucosal resection of lesion of sigmoid colon using rigid sigmoidoscope
240,H267,H26.7 Endoscopic resection of lesion of sigmoid colon using rigid sigmoidoscope NEC
240,H268,H26.8 Other specified endoscopic extirpation of lesion of sigmoid colon using rigid sigmoidoscope
240,H269,H26.9 Unspecified endoscopic extirpation of lesion of sigmoid colon using rigid sigmoidoscope
240,H27,H27 Other therapeutic endoscopic operations on sigmoid colon using rigid sigmoidoscope
240,H271,H27.1 Endoscopic dilation of sigmoid colon using rigid sigmoidoscope
240,H272,H27.2 Endoscopic removal of foreign body from sigmoid colon using rigid sigmoidoscope
240,H273,H27.3 Endoscopic insertion of tubal prosthesis into sigmoid colon using rigid sigmoidoscope
240,H274,H27.4 Endoscopic insertion of expanding metal stent into sigmoid colon using rigid sigmoidoscope
240,H278,H27.8 Other specified other therapeutic endoscopic operations on sigmoid colon using rigid sigmoidoscope
240,H279,H27.9 Unspecified other therapeutic endoscopic operations on sigmoid colon using rigid sigmoidoscope
240,H28,H28 Diagnostic endoscopic examination of sigmoid colon using rigid sigmoidoscope
240,H281,H28.1 Diagnostic endoscopic examination of sigmoid colon and biopsy of lesion of sigmoid colon using rigid sigmoidoscope
240,H288,H28.8 Other specified diagnostic endoscopic examination of sigmoid colon using rigid sigmoidoscope
240,H289,H28.9 Unspecified diagnostic endoscopic examination of sigmoid colon using rigid sigmoidoscope
240,H29,H29 Subtotal excision of colon
240,H291,H29.1 Subtotal excision of colon and rectum and creation of colonic pouch and anastomosis of colon to anus
240,H292,H29.2 Subtotal excision of colon and rectum and creation of colonic pouch NEC
240,H293,H29.3 Subtotal excision of colon and creation of colonic pouch and anastomosis of colon to rectum
240,H294,H29.4 Subtotal excision of colon and creation of colonic pouch NEC
240,H298,H29.8 Other specified subtotal excision of colon
240,H299,H29.9 Unspecified subtotal excision of colon
240,H30,H30 Other operations on colon
240,H301,H30.1 Radiological reduction of intussusception of colon using barium enema
240,H302,H30.2 Intubation of colon for pressure manometry
240,H303,H30.3 Passage of flatus tube to reduce volvulus of sigmoid colon
240,H304,H30.4 Intubation of colon NEC
240,H305,H30.5 Irrigation of colon
240,H308,H30.8 Other specified other operations on colon
240,H309,H30.9 Unspecified other operations on colon
240,H31,H31 Image guided colorectal therapeutic operations
240,H311,H31.1 Image guided percutaneous occlusion of colorectal fistula
240,H312,H31.2 Image guided transluminal occlusion of colorectal fistula
240,H313,H31.3 Image guided balloon dilation of colorectal stricture
240,H314,H31.4 Image guided insertion of colorectal stent
240,H315,H31.5 Image guided removal of colorectal stent
240,H318,H31.8 Other specified image guided colorectal therapeutic operations
240,H319,H31.9 Unspecified image guided colorectal therapeutic operations
240,H32,H32 Exteriorisation of colon
240,H321,H32.1 Resiting of colostomy
240,H328,H32.8 Other specified
240,H329,H32.9 Unspecified
240,H33,H33 Excision of rectum
240,H331,H33.1 Abdominoperineal excision of rectum and end colostomy
240,H332,H33.2 Proctectomy and anastomosis of colon to anus
240,H333,H33.3 Anterior resection of rectum and anastomosis of colon to rectum using staples
240,H334,H33.4 Anterior resection of rectum and anastomosis NEC
240,H335,H33.5 Rectosigmoidectomy and closure of rectal stump and exteriorisation of bowel
240,H336,H33.6 Anterior resection of rectum and exteriorisation of bowel
240,H337,H33.7 Perineal resection of rectum HFQ
240,H338,H33.8 Other specified excision of rectum
240,H339,H33.9 Unspecified excision of rectum
240,H34,H34 Open extirpation of lesion of rectum
240,H341,H34.1 Open excision of lesion of rectum
240,H342,H34.2 Open cauterisation of lesion of rectum
240,H343,H34.3 Open cryotherapy to lesion of rectum
240,H344,H34.4 Open laser destruction of lesion of rectum
240,H345,H34.5 Open destruction of lesion of rectum NEC
240,H348,H34.8 Other specified open extirpation of lesion of rectum
240,H349,H34.9 Unspecified open extirpation of lesion of rectum
240,H35,H35 Fixation of rectum for prolapse
240,H351,H35.1 Anterior fixation of rectum
240,H352,H35.2 Posterior fixation of rectum using prosthetic material
240,H353,H35.3 Posterior fixation of rectum NEC
240,H354,H35.4 Fixation of rectum using fascia lata
240,H358,H35.8 Other specified fixation of rectum for prolapse
240,H359,H35.9 Unspecified fixation of rectum for prolapse
240,H36,H36 Other abdominal operations for prolapse of rectum
240,H361,H36.1 Abdominal repair of levator ani muscles
240,H368,H36.8 Other specified other abdominal operations for prolapse of rectum
240,H369,H36.9 Unspecified other abdominal operations for prolapse of rectum
240,H40,H40 Operations on rectum through anal sphincter
240,H401,H40.1 Trans-sphincteric excision of mucosa of rectum
240,H402,H40.2 Trans-sphincteric excision of lesion of rectum
240,H403,H40.3 Trans-sphincteric destruction of lesion of rectum
240,H404,H40.4 Trans-sphincteric anastomosis of colon to anus
240,H408,H40.8 Other specified operations on rectum through anal sphincter
240,H409,H40.9 Unspecified operations on rectum through anal sphincter
240,H41,H41 Other operations on rectum through anus
240,H411,H41.1 Rectosigmoidectomy and peranal anastomosis
240,H412,H41.2 Peranal excision of lesion of rectum
240,H413,H41.3 Peranal destruction of lesion of rectum
240,H414,H41.4 Peranal mucosal proctectomy and endoanal anastomosis
240,H415,H41.5 Peranal resection of rectum using staples
240,H418,H41.8 Other specified other operations on rectum through anus
240,H419,H41.9 Unspecified other operations on rectum through anus
240,H42,H42 Perineal operations for prolapse of rectum
240,H421,H42.1 Insertion of encircling suture around perianal sphincter
240,H422,H42.2 Perineal plication of levator ani muscles and anal sphincters
240,H423,H42.3 Insertion of supralevator sling
240,H424,H42.4 Removal of encircling suture from around perianal sphincter
240,H425,H42.5 Excision of mucosal prolapse of rectum NEC
240,H426,H42.6 Perineal repair of prolapse of rectum NEC
240,H428,H42.8 Other specified perineal operations for prolapse of rectum
240,H429,H42.9 Unspecified perineal operations for prolapse of rectum
240,H44,H44 Manipulation of rectum
240,H441,H44.1 Manual removal of foreign body from rectum
240,H442,H44.2 Manual reduction of prolapse of rectum
240,H443,H44.3 Manual evacuation of impacted faeces from rectum
240,H444,H44.4 Examination of rectum under anaesthetic
240,H445,H44.5 Massage of rectum
240,H448,H44.8 Other specified manipulation of rectum
240,H449,H44.9 Unspecified manipulation of rectum
240,H46,H46 Other operations on rectum
240,H461,H46.1 Radiological reduction of intussusception of rectum using barium enema
240,H462,H46.2 Hydrostatic reduction of intussusception of rectum
240,H463,H46.3 Intubation of rectum for pressure manometry
240,H464,H46.4 Intubation of rectum NEC
240,H468,H46.8 Other specified other operations on rectum
240,H469,H46.9 Unspecified other operations on rectum
240,H47,H47 Excision of anus
240,H471,H47.1 Excision of sphincter of anus
240,H478,H47.8 Other specified excision of anus
240,H479,H47.9 Unspecified excision of anus
240,H48,H48 Excision of lesion of anus
240,H481,H48.1 Excision of polyp of anus
240,H482,H48.2 Excision of skin tag of anus
240,H483,H48.3 Excision of perianal wart
240,H488,H48.8 Other specified excision of lesion of anus
240,H489,H48.9 Unspecified excision of lesion of anus
240,H49,H49 Destruction of lesion of anus
240,H491,H49.1 Cauterisation of lesion of anus
240,H492,H49.2 Laser destruction of lesion of anus
240,H493,H49.3 Cryotherapy to lesion of anus
240,H498,H49.8 Other specified destruction of lesion of anus
240,H499,H49.9 Unspecified destruction of lesion of anus
240,H50,H50 Repair of anus
240,H501,H50.1 Posterior repair of anal sphincter
240,H502,H50.2 Anterior repair of anal sphincter
240,H503,H50.3 Cutback of covered anus
240,H504,H50.4 Reanastomosis of rectum to anal canal for correction of congenital atresia of rectum
240,H508,H50.8 Other specified repair of anus
240,H509,H50.9 Unspecified repair of anus
240,H51,H51 Excision of haemorrhoid
240,H511,H51.1 Haemorrhoidectomy
240,H512,H51.2 Partial internal sphincterotomy for haemorrhoid
240,H513,H51.3 Stapled haemorrhoidectomy
240,H518,H51.8 Other specified excision of haemorrhoid
240,H519,H51.9 Unspecified excision of haemorrhoid
240,H52,H52 Destruction of haemorrhoid
240,H521,H52.1 Cryotherapy to haemorrhoid
240,H522,H52.2 Infrared photocoagulation of haemorrhoid
240,H523,H52.3 Injection of sclerosing substance into haemorrhoid
240,H524,H52.4 Rubber band ligation of haemorrhoid
240,H528,H52.8 Other specified destruction of haemorrhoid
240,H529,H52.9 Unspecified destruction of haemorrhoid
240,H53,H53 Other operations on haemorrhoid
240,H531,H53.1 Evacuation of perianal haematoma
240,H532,H53.2 Forced manual dilation of anus for haemorrhoid
240,H533,H53.3 Manual reduction of prolapsed haemorrhoid
240,H538,H53.8 Other specified other operations on haemorrhoid
240,H539,H53.9 Unspecified other operations on haemorrhoid
240,H54,H54 Dilation of anal sphincter
240,H541,H54.1 Anorectal stretch
240,H548,H54.8 Other specified dilation of anal sphincter
240,H549,H54.9 Unspecified dilation of anal sphincter
240,H55,H55 Other operations on perianal region
240,H551,H55.1 Laying open of low anal fistula
240,H552,H55.2 Laying open of high anal fistula
240,H553,H55.3 Laying open of anal fistula NEC
240,H554,H55.4 Insertion of seton into high anal fistula and partial laying open of track HFQ
240,H555,H55.5 Fistulography of anal fistula
240,H556,H55.6 Probing of perineal fistula
240,H557,H55.7 Repair of anal fistula using plug
240,H558,H55.8 Other specified other operations on perianal region
240,H559,H55.9 Unspecified other operations on perianal region
240,H56,H56 Other operations on anus
240,H561,H56.1 Biopsy of lesion of anus
240,H562,H56.2 Lateral sphincterotomy of anus
240,H563,H56.3 Incision of septum of anus
240,H564,H56.4 Excision of anal fissure
240,H568,H56.8 Other specified other operations on anus
240,H569,H56.9 Unspecified other operations on anus
240,H57,H57 Other operations on the anal sphincter to control continence
240,H571,H57.1 Placement of artificial anal sphincter NEC
240,H572,H57.2 Maintenance of artificial anal sphincter NEC
240,H573,H57.3 Removal of artificial anal sphincter NEC
240,H574,H57.4 Creation of graciloplasty sphincter
240,H575,H57.5 Placement of dynamic graciloplasty sphincter
240,H576,H57.6 Maintenance of dynamic graciloplasty sphincter
240,H577,H57.7 Removal of dynamic graciloplasty sphincter
240,H578,H57.8 Other specified other operations on the anal sphincter to control continence
240,H579,H57.9 Unspecified other operations on the anal sphincter to control continence
240,H58,H58 Drainage through perineal region
240,H581,H58.1 Drainage of ischiorectal abscess
240,H582,H58.2 Drainage of perianal abscess
240,H583,H58.3 Drainage of perirectal abscess
240,H588,H58.8 Other specified drainage through perineal region
240,H589,H58.9 Unspecified drainage through perineal region
240,H59,H59 Excision of pilonidal sinus
240,H591,H59.1 Excision of pilonidal sinus and Z plasty skin flap HFQ
240,H592,H59.2 Excision of pilonidal sinus and skin flap NEC
240,H593,H59.3 Excision of pilonidal sinus and skin graft HFQ
240,H594,H59.4 Excision of pilonidal sinus and suture HFQ
240,H598,H59.8 Other specified excision of pilonidal sinus
240,H599,H59.9 Unspecified excision of pilonidal sinus
240,H60,H60 Other operations on pilonidal sinus
240,H601,H60.1 Destruction of pilonidal sinus
240,H602,H60.2 Laying open of pilonidal sinus
240,H603,H60.3 Drainage of pilonidal sinus
240,H604,H60.4 Injection of radiocontrast substance into pilonidal sinus
240,H608,H60.8 Other specified other operations on pilonidal sinus
240,H609,H60.9 Unspecified other operations on pilonidal sinus
240,H62,H62 Other operations on bowel
240,H621,H62.1 Laser recanalisation of bowel NEC
240,H622,H62.2 Mobilisation of bowel NEC
240,H623,H62.3 Dilation of bowel NEC
240,H624,H62.4 Intubation of bowel NEC
240,H625,H62.5 Irrigation of bowel NEC
240,H626,H62.6 Proctoscopy
240,H628,H62.8 Other specified other operations on bowel
240,H629,H62.9 Unspecified other operations on bowel
240,H66,H66 Therapeutic operations on ileoanal pouch
240,H661,H66.1 Excision of ileoanal pouch
240,H662,H66.2 Revision of ileoanal pouch
240,H668,H66.8 Other specified therapeutic operations on ileoanal pouch
240,H669,H66.9 Unspecified therapeutic operations on ileoanal pouch
240,H68,H68 Diagnostic endoscopic examination of enteric pouch using colonoscope
240,H681,H68.1 Diagnostic endoscopic examination of colonic pouch and biopsy of colonic pouch using colonoscope
240,H682,H68.2 Diagnostic endoscopic examination of colonic pouch using colonoscope NEC
240,H683,H68.3 Diagnostic endoscopic examination of ileoanal pouch and biopsy of ileoanal pouch using colonoscope
240,H684,H68.4 Diagnostic endoscopic examination of ileoanal pouch using colonoscope NEC
240,H688,H68.8 Other specified diagnostic endoscopic examination of enteric pouch using colonoscope
240,H689,H68.9 Unspecified diagnostic endoscopic examination of enteric pouch using colonoscope
240,H69,H69 Diagnostic endoscopic examination of enteric pouch using fibreoptic sigmoidoscope
240,H691,H69.1 Diagnostic endoscopic examination of colonic pouch and biopsy of colonic pouch using fibreoptic sigmoidoscope
240,H692,H69.2 Diagnostic endoscopic examination of colonic pouch using fibreoptic sigmoidoscope NEC
240,H693,H69.3 Diagnostic endoscopic examination of ileoanal pouch and biopsy of ileoanal pouch using fibreoptic sigmoidoscope
240,H694,H69.4 Diagnostic endoscopic examination of ileoanal pouch using fibreoptic sigmoidoscope NEC
240,H698,H69.8 Other specified diagnostic endoscopic examination of enteric pouch using fibreoptic sigmoidoscope
240,H699,H69.9 Unspecified diagnostic endoscopic examination of enteric pouch using fibreoptic sigmoidoscope
240,H70,H70 Diagnostic endoscopic examination of enteric pouch using rigid sigmoidoscope
240,H701,H70.1 Diagnostic endoscopic examination of colonic pouch and biopsy of colonic pouch using rigid sigmoidoscope
240,H702,H70.2 Diagnostic endoscopic examination of colonic pouch using rigid sigmoidoscope NEC
240,H703,H70.3 Diagnostic endoscopic examination of ileoanal pouch and biopsy of ileoanal pouch using rigid sigmoidoscope
240,H704,H70.4 Diagnostic endoscopic examination of ileoanal pouch using rigid sigmoidoscope NEC
240,H708,H70.8 Other specified diagnostic endoscopic examination of enteric pouch using rigid sigmoidoscope
240,H709,H70.9 Unspecified diagnostic endoscopic examination of enteric pouch using rigid sigmoidoscope
240,J01,J01 Transplantation of liver
240,J011,J01.1 Orthotopic transplantation of liver NEC
240,J012,J01.2 Heterotopic transplantation of liver
240,J013,J01.3 Replacement of previous liver transplant
240,J014,J01.4 Transplantation of liver cells
240,J015,J01.5 Orthotopic transplantation of whole liver
240,J018,J01.8 Other specified transplantation of liver
240,J019,J01.9 Unspecified transplantation of liver
240,J02,J02 Partial excision of liver
240,J021,J02.1 Right hemihepatectomy NEC
240,J022,J02.2 Left hemihepatectomy NEC
240,J023,J02.3 Resection of segment of liver
240,J024,J02.4 Wedge excision of liver
240,J025,J02.5 Marsupialisation of lesion of liver
240,J026,J02.6 Extended right hemihepatectomy
240,J027,J02.7 Extended left hemihepatectomy
240,J028,J02.8 Other specified partial excision of liver
240,J029,J02.9 Unspecified partial excision of liver
240,J03,J03 Extirpation of lesion of liver
240,J031,J03.1 Excision of lesion of liver NEC
240,J032,J03.2 Destruction of lesion of liver NEC
240,J033,J03.3 Thermal ablation of single lesion of liver
240,J034,J03.4 Thermal ablation of multiple lesions of liver
240,J035,J03.5 Excision of multiple lesions of liver
240,J038,J03.8 Other specified extirpation of lesion of liver
240,J039,J03.9 Unspecified extirpation of lesion of liver
240,J04,J04 Repair of liver
240,J041,J04.1 Removal of lacerated fragment of liver
240,J042,J04.2 Repair of laceration of liver
240,J043,J04.3 Packing of laceration of liver
240,J048,J04.8 Other specified repair of liver
240,J049,J04.9 Unspecified repair of liver
240,J05,J05 Incision of liver
240,J051,J05.1 Open drainage of liver
240,J052,J05.2 Open removal of calculus from liver
240,J053,J05.3 Open wedge biopsy of lesion of liver
240,J058,J05.8 Other specified incision of liver
